Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ 06-26,Backtest,ModularStrategy,Short,1,25795.75,25857.50,1/14/2026 3:50:00 PM,1/14/2026 4:10:00 PM,ORB_Value_v2:20260114:2468,Stop,($1240.76),($1240.76),$5.76,$0.00,$0.00,$0.00,$0.00,$1440.00,$435.00,$1675.76,5,
2,NQ 06-26,Backtest,ModularStrategy,Long,1,25542.50,25464.75,1/20/2026 11:00:00 AM,1/20/2026 1:30:00 PM,ORB_Value_v2:20260120:3466,Stop,($1560.76),($2801.52),$5.76,$0.00,$0.00,$0.00,$0.00,$1660.00,$1920.00,$3480.76,31,
3,NQ 06-26,Backtest,ModularStrategy,Short,1,26090.50,26193.25,1/29/2026 2:25:00 PM,1/29/2026 4:00:00 PM,ORB_Value_v2:20260129:5439,Stop,($2060.76),($4862.28),$5.76,$0.00,$0.00,$0.00,$0.00,$2115.00,$955.00,$3015.76,20,
4,NQ 06-26,Backtest,ModularStrategy,Short,1,26190.75,26161.25,1/29/2026 4:20:00 PM,1/29/2026 6:10:00 PM,ORB_Value_v2:20260129:5462,SessionClose,$584.24,($4278.04),$5.76,$0.00,$0.00,$0.00,$0.00,$1360.00,$660.00,$75.76,11,
5,NQ 06-26,Backtest,ModularStrategy,Short,1,24938.25,24749.50,2/5/2026 11:30:00 AM,2/5/2026 4:25:00 PM,ORB_Value_v2:20260205:6784,T2,$3769.24,($508.80),$5.76,$0.00,$0.00,$0.00,$0.00,$3160.00,$3930.00,$160.76,60,
6,NQ 06-26,Backtest,ModularStrategy,Long,1,25546.00,25481.50,2/10/2026 11:45:00 AM,2/10/2026 3:10:00 PM,ORB_Value_v2:20260210:7615,Stop,($1295.76),($1804.56),$5.76,$0.00,$0.00,$0.00,$0.00,$1390.00,$1210.00,$2505.76,42,
7,NQ 06-26,Backtest,ModularStrategy,Short,1,24778.00,24935.50,2/17/2026 10:55:00 AM,2/17/2026 11:15:00 AM,ORB_Value_v2:20260217:8937,Stop,($3155.76),($4960.32),$5.76,$0.00,$0.00,$0.00,$0.00,$3270.00,$610.00,$3765.76,5,
8,NQ 06-26,Backtest,ModularStrategy,Long,1,25095.25,25212.00,2/20/2026 12:30:00 PM,2/20/2026 12:55:00 PM,ORB_Value_v2:20260220:9784,T2,$2329.24,($2631.08),$5.76,$0.00,$0.00,$0.00,$0.00,$145.00,$2500.00,$170.76,6,
9,NQ 06-26,Backtest,ModularStrategy,Long,1,25200.50,25280.50,2/24/2026 11:45:00 AM,2/24/2026 1:10:00 PM,ORB_Value_v2:20260224:10327,T2,$1594.24,($1036.84),$5.76,$0.00,$0.00,$0.00,$0.00,$280.00,$1740.00,$145.76,18,
10,NQ 06-26,Backtest,ModularStrategy,Short,1,24712.25,24567.50,3/3/2026 10:15:00 AM,3/3/2026 10:35:00 AM,ORB_Value_v2:20260303:11689,T2,$2889.24,$1852.40,$5.76,$0.00,$0.00,$0.00,$0.00,$945.00,$3030.00,$140.76,5,
11,NQ 06-26,Backtest,ModularStrategy,Short,1,24794.00,24899.25,3/3/2026 11:25:00 AM,3/3/2026 11:55:00 AM,ORB_Value_v2:20260303:11703,Stop,($2110.76),($258.36),$5.76,$0.00,$0.00,$0.00,$0.00,$2790.00,$440.00,$2550.76,7,
12,NQ 06-26,Backtest,ModularStrategy,Short,1,25256.00,25238.75,3/5/2026 4:05:00 PM,3/5/2026 6:10:00 PM,ORB_Value_v2:20260305:12311,SessionClose,$339.24,$80.88,$5.76,$0.00,$0.00,$0.00,$0.00,$75.00,$940.00,$600.76,14,
13,NQ 06-26,Backtest,ModularStrategy,Long,1,25311.00,25228.50,3/11/2026 10:20:00 AM,3/11/2026 10:30:00 AM,ORB_Value_v2:20260311:13346,Stop,($1655.76),($1574.88),$5.76,$0.00,$0.00,$0.00,$0.00,$1700.00,$165.00,$1820.76,3,
14,NQ 06-26,Backtest,ModularStrategy,Short,1,24888.75,24792.50,3/12/2026 10:25:00 AM,3/12/2026 3:50:00 PM,ORB_Value_v2:20260312:13623,T2,$1919.24,$344.36,$5.76,$0.00,$0.00,$0.00,$0.00,$1105.00,$2380.00,$460.76,66,
15,NQ 06-26,Backtest,ModularStrategy,Long,1,24877.25,24848.25,3/16/2026 4:10:00 PM,3/16/2026 6:10:00 PM,ORB_Value_v2:20260316:14244,SessionClose,($585.76),($241.40),$5.76,$0.00,$0.00,$0.00,$0.00,$645.00,$485.00,$1070.76,13,
